house,x,y,util,dam,group,connections
714,2.15295950456864,2.5619894938007217,60.63814276287771,2.357474499184681,2,"[(714, 526), (714, 542), (714, 882), (714, 990), (714, 128), (714, 897), (714, 312), (714, 216), (714, 77), (714, 420), (714, 53), (714, 986), (714, 791), (714, 944), (714, 792), (714, 419), (714, 747)]"
887,26.899395959695532,70.17042748667805,47.93466826476958,48.534911723186795,3,[]
991,23.043202139357483,29.044224062960144,54.6875,26.043713101158815,5,"[(991, 249), (991, 401), (991, 595)]"
510,33.191624494877466,29.64272652226302,54.6875,31.417175508570242,5,"[(510, 417), (510, 979), (510, 432)]"
974,2.9929173486387373,2.114284031463855,50.89516758847845,2.5536006900512964,2,"[(974, 405), (974, 352), (974, 621), (974, 270), (974, 285), (974, 488), (974, 447), (974, 858)]"
329,2.7039675389354416,19.5975024071946,43.24261598393128,11.15073497306502,2,"[(329, 715), (329, 435), (329, 629), (329, 615), (329, 192), (329, 459), (329, 938)]"
772,28.858739636518706,39.43144943503593,53.125,34.14509453577732,5,"[(772, 48), (772, 195)]"
773,99.52239301663755,37.62843713613053,48.08052001057343,68.57541507638405,4,"[(773, 769)]"
598,2.6468452144882995,0.6549645905452834,59.26794888372522,1.6509049025167915,2,"[(598, 206), (598, 852), (598, 818), (598, 781), (598, 658), (598, 651), (598, 68), (598, 645), (598, 733), (598, 697), (598, 505), (598, 792)]"
774,3.6816430222404364,54.63732669441379,51.5625,29.15948485832711,5,"[(774, 952)]"
775,54.97550271252248,43.491550609780084,54.39912923825393,49.23352666115128,4,"[(775, 109), (775, 429), (775, 697)]"
776,62.83721154557023,44.836113069801726,56.24049477592957,53.83666230768598,4,"[(776, 505), (776, 109), (776, 930), (776, 32), (776, 158)]"
906,40.14487930242085,43.83313695354763,53.125,41.989008127984235,5,"[(906, 652), (906, 433)]"
819,16.507979493403703,32.04292810685045,53.125,24.275453800127075,5,"[(819, 318), (819, 209)]"
777,66.4797237780894,51.824087586497555,48.448085349024794,59.151905682293474,4,"[(777, 66), (777, 329), (777, 936)]"
995,48.28011263261108,40.43079578642899,51.29850423376398,44.35545420952003,4,"[(995, 626), (995, 178), (995, 969), (995, 993)]"
936,3.0123040691564213,18.89588939875705,36.00608673414872,10.954096733956735,2,"[(936, 750), (936, 311), (936, 650), (936, 305), (936, 223), (936, 665), (936, 140), (936, 460), (936, 694), (936, 643)]"
778,81.56993699025449,33.118084835071784,44.879481056833555,57.34401091266314,4,"[(778, 261), (778, 214), (778, 980)]"
962,38.00014564751756,59.06973321762318,46.81973102504735,48.53493943257037,3,"[(962, 682)]"
779,56.72929595229623,53.29308065486721,45.67052733507954,55.01118830358172,4,"[(779, 803), (779, 185)]"
780,67.92319621520055,59.51167043000299,42.635831659170705,63.717433322601764,4,"[(780, 457)]"
22,2.6061970859114982,15.976698204994662,64.24943957558898,9.29144764545308,2,"[(22, 584), (22, 767), (22, 274), (22, 896), (22, 471), (22, 496), (22, 527), (22, 480), (22, 893), (22, 516), (22, 36), (22, 938), (22, 237), (22, 93)]"
781,51.211495275308536,52.16422820058004,50.61280808258688,51.68786173794429,4,"[(781, 715), (781, 504)]"
788,2.1364059857440445,24.37850216959589,39.4824287213004,13.257454077669967,2,"[(788, 688), (788, 790), (788, 41), (788, 274), (788, 90)]"
782,62.279590780046995,35.72676889570309,46.369437291327856,49.00317983787504,4,"[(782, 908), (782, 23), (782, 131)]"
822,22.792017301365345,43.35200820578548,56.25,33.072012753575414,5,"[(822, 503), (822, 254), (822, 573), (822, 703)]"
923,0.8085112796436249,59.57006131608854,46.57933248302179,30.189286297866083,3,[]
994,27.06108006170976,62.241083518676106,49.78019614348505,44.65108179019293,3,[]
907,10.52769099735167,18.555117345833075,54.6875,14.541404171592372,5,"[(907, 122), (907, 834), (907, 751)]"
