house,x,y,dem,soc,dam,group,connections,x_mean,x_std,y_mean,y_std
1,36.108655805789425,97.97645723505245,97.35679480934259,2.5,67.04255652042093,2,"[(1, 371)]",45.12576878263847,22.373066916325826,86.43129771517778,55.045531140156456
2,56.19919486525647,16.6870709920767,65.59256587023795,2.5,36.443132928666586,3,"[(2, 202)]",45.12576878263847,22.373066916325826,86.43129771517778,55.045531140156456
3,17.21073472017224,66.16019795897338,85.92544042829651,25.0,41.68546633957281,2,"[(3, 361), (3, 376), (3, 43), (3, 114), (3, 342), (3, 106), (3, 372), (3, 373), (3, 79), (3, 338)]",45.12576878263847,22.373066916325826,86.43129771517778,55.045531140156456
4,35.91689557878998,54.12054167891938,30.61916388319434,32.5,45.018718628854685,1,"[(4, 179), (4, 25), (4, 170), (4, 47), (4, 203), (4, 160), (4, 140), (4, 184), (4, 22), (4, 84), (4, 169), (4, 72), (4, 58)]",45.12576878263847,22.373066916325826,86.43129771517778,55.045531140156456
5,32.24816984695441,89.74973835777321,68.45468955728035,5.0,60.99895410236381,2,"[(5, 67), (5, 66)]",45.12576878263847,22.373066916325826,86.43129771517778,55.045531140156456
6,66.41819358957576,49.01297236876133,91.72674427913162,7.5,57.715582979168545,4,"[(6, 143), (6, 41), (6, 168)]",45.12576878263847,22.373066916325826,86.43129771517778,55.045531140156456
7,43.668012699214685,63.11832974347553,89.62709958172765,17.5,53.393171221345106,4,"[(7, 199), (7, 17), (7, 39), (7, 181), (7, 214), (7, 230), (7, 149)]",45.12576878263847,22.373066916325826,86.43129771517778,55.045531140156456
8,41.750687302419756,23.141736145578328,79.81771258970298,22.5,32.44621172399904,3,"[(8, 185), (8, 102), (8, 132), (8, 89), (8, 139), (8, 175), (8, 190), (8, 212), (8, 135)]",45.12576878263847,22.373066916325826,86.43129771517778,55.045531140156456
9,97.6834521690289,61.82668180254988,92.57789306761612,0.0,79.75506698578938,4,[],45.12576878263847,22.373066916325826,86.43129771517778,55.045531140156456
10,61.18216309375187,98.50365984628017,96.62396086013892,2.5,79.84291147001602,4,"[(10, 48)]",45.12576878263847,22.373066916325826,86.43129771517778,55.045531140156456
11,56.01599632284048,80.86824349530151,92.91490864586531,2.5,68.442119909071,4,"[(11, 20)]",45.12576878263847,22.373066916325826,86.43129771517778,55.045531140156456
12,36.60799482132617,16.149463098070513,62.97456756317905,7.5,26.378728959698343,1,"[(12, 139), (12, 205), (12, 89)]",45.12576878263847,22.373066916325826,86.43129771517778,55.045531140156456
13,63.40268987019434,39.516256632431734,92.01737350417896,10.0,51.459473251313035,3,"[(13, 326), (13, 183), (13, 225), (13, 226)]",45.12576878263847,22.373066916325826,86.43129771517778,55.045531140156456
14,72.22175941144685,57.423994770567276,96.97957961720046,0.0,64.82287709100706,4,[],45.12576878263847,22.373066916325826,86.43129771517778,55.045531140156456
15,22.350130052839237,18.290655151513647,95.69747306504748,12.5,20.32039260217644,1,"[(15, 28), (15, 393), (15, 85), (15, 37), (15, 365)]",45.12576878263847,22.373066916325826,86.43129771517778,55.045531140156456
16,38.19061173038754,60.58027998158222,52.38125200657671,17.5,49.385445855984884,1,"[(16, 179), (16, 214), (16, 103), (16, 209), (16, 126), (16, 47), (16, 84)]",45.12576878263847,22.373066916325826,86.43129771517778,55.045531140156456
17,44.46591626871658,66.00329615056266,94.44196663993407,17.5,55.23460620963962,4,"[(17, 199), (17, 39), (17, 230), (17, 214), (17, 181), (17, 7), (17, 149)]",45.12576878263847,22.373066916325826,86.43129771517778,55.045531140156456
18,55.954152408423084,72.97606297940757,85.7478325064882,0.0,64.46510769391533,4,[],45.12576878263847,22.373066916325826,86.43129771517778,55.045531140156456
19,62.104101515603475,59.8272911044466,82.67466861169142,2.5,60.96569631002504,4,"[(19, 145)]",45.12576878263847,22.373066916325826,86.43129771517778,55.045531140156456
20,57.391039582196186,83.32958256599147,86.29011423741207,2.5,70.36031107409383,4,"[(20, 11)]",45.12576878263847,22.373066916325826,86.43129771517778,55.045531140156456
21,12.94138999368419,72.83669171639758,51.05987630471252,7.5,42.88904085504089,2,"[(21, 375), (21, 391), (21, 395)]",45.12576878263847,22.373066916325826,86.43129771517778,55.045531140156456
22,31.914782583164023,53.3528561014034,77.29653612515477,12.5,42.63381934228371,1,"[(22, 387), (22, 4), (22, 140), (22, 203), (22, 72)]",45.12576878263847,22.373066916325826,86.43129771517778,55.045531140156456
23,74.58478679866589,82.39139716484986,94.76765280635311,0.0,78.48809198175788,4,[],45.12576878263847,22.373066916325826,86.43129771517778,55.045531140156456
24,52.645387770385355,42.58777075735659,88.11127381374821,20.0,47.616579263870975,3,"[(24, 163), (24, 150), (24, 192), (24, 44), (24, 151), (24, 208), (24, 167), (24, 154)]",45.12576878263847,22.373066916325826,86.43129771517778,55.045531140156456
25,38.985724834384904,54.031979333029234,91.6646293150859,30.0,46.50885208370707,1,"[(25, 169), (25, 4), (25, 137), (25, 179), (25, 47), (25, 76), (25, 160), (25, 140), (25, 84), (25, 58), (25, 184), (25, 170)]",45.12576878263847,22.373066916325826,86.43129771517778,55.045531140156456
26,65.6443216090496,65.01378273247826,86.47325894254088,2.5,65.32905217076393,4,"[(26, 145)]",45.12576878263847,22.373066916325826,86.43129771517778,55.045531140156456
27,71.6392967925163,8.253041097714416,78.68655942591562,2.5,39.94616894511536,3,"[(27, 220)]",45.12576878263847,22.373066916325826,86.43129771517778,55.045531140156456
28,24.57851599489945,15.576676829395893,62.7341472634119,7.5,20.07759641214767,1,"[(28, 365), (28, 15), (28, 393)]",45.12576878263847,22.373066916325826,86.43129771517778,55.045531140156456
29,59.4794823835892,90.32118238534653,91.68744046575381,7.5,74.90033238446787,4,"[(29, 46), (29, 57), (29, 48)]",45.12576878263847,22.373066916325826,86.43129771517778,55.045531140156456
30,31.54230950023938,64.1190042950086,77.83459460281566,15.0,47.83065689762399,2,"[(30, 332), (30, 222), (30, 103), (30, 229), (30, 126), (30, 110)]",45.12576878263847,22.373066916325826,86.43129771517778,55.045531140156456
31,32.14983277246768,33.56425153651662,20.173543393313757,65.0,32.85704215449215,1,"[(31, 81), (31, 243), (31, 189), (31, 134), (31, 330), (31, 303), (31, 304), (31, 218), (31, 249), (31, 306), (31, 278), (31, 252), (31, 253), (31, 282), (31, 255), (31, 312), (31, 284), (31, 285), (31, 231), (31, 260), (31, 261), (31, 318), (31, 152), (31, 97), (31, 293), (31, 238)]",45.12576878263847,22.373066916325826,86.43129771517778,55.045531140156456
32,45.41983656528157,83.60825926194228,84.47477244697812,0.0,64.51404791361193,4,[],45.12576878263847,22.373066916325826,86.43129771517778,55.045531140156456
33,15.649263053245527,93.2329491227147,52.04806397046702,15.0,54.44110608798012,2,"[(33, 88), (33, 353), (33, 339), (33, 343), (33, 94), (33, 121)]",45.12576878263847,22.373066916325826,86.43129771517778,55.045531140156456
34,12.50409165437003,85.86620310652143,71.82682820359399,12.5,49.18514738044573,2,"[(34, 100), (34, 107), (34, 370), (34, 337), (34, 62)]",45.12576878263847,22.373066916325826,86.43129771517778,55.045531140156456
35,65.71918316078751,15.748279990575256,68.69281521159468,7.5,40.73373157568138,3,"[(35, 36), (35, 59), (35, 173)]",45.12576878263847,22.373066916325826,86.43129771517778,55.045531140156456
36,64.38573061840466,19.690883772094352,99.2632968524645,5.0,42.03830719524951,3,"[(36, 59), (36, 35)]",45.12576878263847,22.373066916325826,86.43129771517778,55.045531140156456
37,17.631337623888182,17.8622449922009,82.99598050830932,10.0,17.746791308044543,1,"[(37, 365), (37, 15), (37, 393), (37, 85)]",45.12576878263847,22.373066916325826,86.43129771517778,55.045531140156456
38,55.897578140057576,47.697908560980416,99.30340458448966,10.0,51.797743350519,4,"[(38, 143), (38, 154), (38, 156), (38, 151)]",45.12576878263847,22.373066916325826,86.43129771517778,55.045531140156456
39,43.82194470891493,63.35981281048124,89.51965194760946,17.5,53.590878759698086,4,"[(39, 199), (39, 17), (39, 181), (39, 214), (39, 230), (39, 7), (39, 149)]",45.12576878263847,22.373066916325826,86.43129771517778,55.045531140156456
40,65.07060560905903,7.089678796691288,87.29349997996034,5.0,36.08014220287516,3,"[(40, 50), (40, 220)]",45.12576878263847,22.373066916325826,86.43129771517778,55.045531140156456
41,65.3172552473304,51.99160550320047,87.95145068150889,5.0,58.654430375265434,4,"[(41, 143), (41, 6)]",45.12576878263847,22.373066916325826,86.43129771517778,55.045531140156456
42,39.73903984263969,75.97580926146787,90.17298803565326,5.0,57.857424552053786,4,"[(42, 128), (42, 70)]",45.12576878263847,22.373066916325826,86.43129771517778,55.045531140156456
43,21.64360875851208,66.90200605505133,46.878171668662674,35.0,44.27280740678171,2,"[(43, 332), (43, 3), (43, 368), (43, 75), (43, 361), (43, 347), (43, 336), (43, 117), (43, 92), (43, 342), (43, 372), (43, 376), (43, 382), (43, 79)]",45.12576878263847,22.373066916325826,86.43129771517778,55.045531140156456
44,47.06296292070607,41.70246571648277,84.39925817427864,20.0,44.382714318594424,3,"[(44, 150), (44, 192), (44, 193), (44, 201), (44, 24), (44, 136), (44, 223), (44, 113)]",45.12576878263847,22.373066916325826,86.43129771517778,55.045531140156456
45,59.6405001150632,32.92600204356791,67.06482338295146,12.5,46.283251079315555,3,"[(45, 162), (45, 158), (45, 225), (45, 138), (45, 191)]",45.12576878263847,22.373066916325826,86.43129771517778,55.045531140156456
46,54.70852759004912,92.4413460861148,86.88420742223914,5.0,73.57493683808197,4,"[(46, 29), (46, 48)]",45.12576878263847,22.373066916325826,86.43129771517778,55.045531140156456
47,40.51722915474483,56.06258484285405,52.85170206951455,22.5,48.28990699879944,1,"[(47, 4), (47, 179), (47, 25), (47, 209), (47, 76), (47, 160), (47, 84), (47, 16), (47, 58)]",45.12576878263847,22.373066916325826,86.43129771517778,55.045531140156456
